Soil Type,GLCM Contrast,Wavelet Energy,Entropy,Histogram RGB Mean,Crop
Alluvial Soil,567.9871875,2605216146,4.084364198,581.875,Pulses
Alluvial Soil,979.6248537,14585962624,7.520402857,3164.0625,Rice
Alluvial Soil,929.5470346,15189343121,7.567463995,4854.6875,Rice
Alluvial Soil,560.4344027,2314562483,6.837802287,407.96875,Pulses
Alluvial Soil,690.6371062,214049896.3,6.824993446,39.0625,Pulses
Alluvial Soil,2356.657372,629508031.3,7.533809338,197.421875,Pulses
Alluvial Soil,755.2572394,689335722,6.615122165,196.5234375,Pulses
Alluvial Soil,1009.330033,559211527.3,7.567114219,197.2265625,Rice
Alluvial Soil,1725.879087,872251807.8,7.393748477,196.2304688,Rice
Alluvial Soil,839.093377,1083175303,6.997148799,196.8828125,Pulses
Alluvial Soil,1709.662465,1102344962,7.257049327,196.5,Pulses
Alluvial Soil,903.9424719,888808626,7.303722466,196.875,Pulses
Alluvial Soil,1045.969896,1149667393,7.491041388,197.296875,Pulses
Alluvial Soil,254.9239422,145254279,6.129061329,39.0625,Pulses
Alluvial Soil,1027.933117,880462440.5,7.537138426,196.171875,Pulses
Alluvial Soil,347.5459151,1439139738,7.376519632,196.9375,Pulses
Alluvial Soil,2177.754322,100564043,7.248985173,39.0625,Pulses
Alluvial Soil,547.1148196,737655484.5,6.540664373,196.875,Pulses
Alluvial Soil,789.9365491,232304200,7.200969269,39.0625,Grapes
Alluvial Soil,720.6433555,120324754.3,7.263392196,39.0625,Grapes
Alluvial Soil,1851.860999,190026735,7.448221349,39.0625,Pulses
Alluvial Soil,542.967461,1290289266,7.142143318,196.2734375,Rice
Alluvial Soil,925.7790395,522832886.8,7.553259215,196.5820313,Pulses
Alluvial Soil,2269.735528,641610572.8,7.601963511,196.5820313,Rice
Alluvial Soil,698.4685541,115922153.5,6.456445207,197.7539063,Pulses
Alluvial Soil,1548.7565,1043962173,7.456355758,196.8632813,Rice
Alluvial Soil,1851.860999,190026735,7.448221349,39.0625,Pulses
Alluvial Soil,2620.959307,1097296782,7.570461565,196.2734375,Rice
Alluvial Soil,1075.229437,117673570.8,6.794082865,39.0625,Pulses
Alluvial Soil,264.3451729,135560645,6.08559406,39.0625,Pulses
Alluvial Soil,894.4292589,760434537,7.570817421,197.296875,Rice
Alluvial Soil,435.0159266,790523009.3,7.171147535,197.3828125,Pulses
Alluvial Soil,1859.576389,969985177.5,7.808604419,196.5820313,Rice
Alluvial Soil,1615.59398,834867246.8,7.524747419,197.7539063,Pulses
Alluvial Soil,1283.772865,239171165.3,7.807723481,39.0625,Rice
Alluvial Soil,1416.079039,1115460715,7.446959796,196.8828125,Pulses
Alluvial Soil,343.9122977,897701597.8,7.032204376,197.7539063,Rice
Alluvial Soil,1226.997139,1234199770,7.866064733,197.7539063,Pulses
Alluvial Soil,611.2485863,13946473858,6.684089735,2365.3125,Grapes
Alluvial Soil,639.3585908,13935477037,6.690468404,2365.3125,Grapes
Alluvial Soil,686.0671678,13945967495,6.713327694,2365.3125,Grapes
Alluvial Soil,688.6965759,13935606800,6.713890805,2365.3125,Grapes
Alluvial Soil,679.0937701,13942526468,6.706790832,2365.3125,Grapes
Alluvial Soil,687.2585722,14282789749,6.697768911,2365.3125,Grapes
Alluvial Soil,693.3293245,14280571594,6.694718519,2365.3125,Grapes
Alluvial Soil,702.1657522,13936267592,6.720077675,2365.3125,Grapes
Alluvial Soil,616.3182635,14653728437,6.77598847,2365.3125,Grapes
Alluvial Soil,672.8073346,14295123783,6.691890068,2365.3125,Grapes
Alluvial Soil,678.1333671,14281796942,6.68702331,2365.3125,Grapes
Alluvial Soil,682.3989497,14259721330,6.688675474,2365.3125,Grapes
Alluvial Soil,685.1516398,14285109592,6.69300643,2365.3125,Grapes
Alluvial Soil,685.5626664,14273803489,6.706867805,2365.3125,Grapes
Alluvial Soil,668.2745446,14288835142,6.682718055,2365.3125,Grapes
Alluvial Soil,616.2740473,14644258538,6.768486675,2365.3125,Grapes
Alluvial Soil,600.3124882,14636943844,6.758567381,2365.3125,Grapes
Alluvial Soil,655.6817191,14278652016,6.674448819,2365.3125,Grapes
Alluvial Soil,613.490128,14635076765,6.769207204,2365.3125,Grapes
Alluvial Soil,668.8784016,14510382418,6.761522145,2365.3125,Grapes
Alluvial Soil,613.8968072,14675543492,6.779974557,2365.3125,Grapes
Alluvial Soil,681.7842339,14284730151,6.700791544,2365.3125,Grapes
Alluvial Soil,685.1463264,14273432724,6.691148539,2365.3125,Grapes
Alluvial Soil,380.6705346,13754778560,6.220382047,2365.3125,Grapes
Alluvial Soil,374.4713909,13778033807,6.225881538,2365.3125,Grapes
Alluvial Soil,363.0389583,13785175131,6.220540106,2365.3125,Grapes
Alluvial Soil,689.7808027,14255772211,6.692318501,2365.3125,Grapes
Alluvial Soil,352.0190355,13779419103,6.215876998,2365.3125,Grapes
Alluvial Soil,383.2104297,13774952657,6.235646159,2365.3125,Grapes
Alluvial Soil,368.6532357,13775340710,6.228342413,2365.3125,Grapes
Alluvial Soil,668.8985815,14423751118,6.731290336,2365.3125,Grapes
Alluvial Soil,349.2029566,13776963944,6.208788321,2365.3125,Grapes
